,state_name,district_name,market_center_name,Variety,group_name,Arrival,MIN,MAX,MODAL,month_name
1,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,450.0,750,850,800,January
2,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,60.0,750,875,800,January
3,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,40.0,900,1000,925,August
4,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,35.0,900,1000,935,August
5,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,37.0,900,1000,920,August
6,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,38.0,900,1000,920,August
7,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,70.0,910,1000,935,August
8,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,26.0,910,1000,935,August
9,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,25.0,910,1000,935,August
10,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,25.0,900,1000,935,August
11,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,30.0,900,1000,930,August
12,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,35.0,900,1000,930,August
13,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,26.0,900,1000,935,August
14,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,22.5,900,1000,935,August
15,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,22.0,900,1000,935,August
16,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,45.0,900,1000,935,August
17,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,50.0,900,1000,930,August
18,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,70.0,900,1000,930,August
19,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,50.0,900,1000,930,August
20,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,45.0,900,1000,930,August
21,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,55.0,900,1000,930,August
22,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,35.0,900,1000,930,August
23,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,50.0,900,1000,940,August
24,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,7.0,900,1000,950,August
25,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,40.0,950,1025,995,July
26,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,45.0,975,1025,990,July
27,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,35.0,1000,1050,1015,July
28,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,120.0,1100,1120,1110,November
29,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,2.3,0,0,340,March
30,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,1.8,0,0,350,March
31,Chattisgarh,Raipur,Anand Nagar,Other,Vegetables,990.0,0,0,425,February
32,Chattisgarh,Bilaspur,Bilaspur,Other,Vegetables,1.0,300,300,300,January
33,Chattisgarh,Bilaspur,Bilaspur,Other,Vegetables,1.0,400,400,400,January
34,Chattisgarh,Durg,Durg,Potato,Vegetables,7.2,1600,1800,1800,October
35,Chattisgarh,Durg,Durg,Potato,Vegetables,6.5,1700,1800,1800,October
36,Chattisgarh,Durg,Durg,Potato,Vegetables,6.8,1700,1900,1900,September
37,Chattisgarh,Durg,Durg,Potato,Vegetables,5.7,1600,1800,1600,September
38,Chattisgarh,Durg,Durg,Potato,Vegetables,6.4,1700,1800,1700,September
39,Chattisgarh,Durg,Durg,Potato,Vegetables,7.3,1600,1800,1800,September
40,Chattisgarh,Durg,Durg,Potato,Vegetables,6.1,1700,1900,1700,September
41,Chattisgarh,Durg,Durg,Potato,Vegetables,6.8,1600,1800,1800,September
42,Chattisgarh,Durg,Durg,Potato,Vegetables,7.5,1700,1800,1800,September
43,Chattisgarh,Durg,Durg,Potato,Vegetables,6.4,1600,1800,1800,September
44,Chattisgarh,Durg,Durg,Potato,Vegetables,7.8,1700,1800,1700,September
45,Chattisgarh,Durg,Durg,Potato,Vegetables,6.9,1600,1800,1800,September
46,Chattisgarh,Durg,Durg,Potato,Vegetables,6.6,1600,1800,1800,September
47,Chattisgarh,Durg,Durg,Potato,Vegetables,7.2,1600,1800,1600,September
48,Chattisgarh,Durg,Durg,Potato,Vegetables,6.6,1700,1800,1700,September
49,Chattisgarh,Durg,Durg,Potato,Vegetables,7.0,1600,1800,1800,September
50,Chattisgarh,Durg,Durg,Potato,Vegetables,6.5,1700,1900,1900,September
51,Chattisgarh,Durg,Durg,Potato,Vegetables,5.5,1700,1800,1700,September
53,Chattisgarh,Durg,Durg,Potato,Vegetables,5.9,1700,1900,1900,September
54,Chattisgarh,Durg,Durg,Potato,Vegetables,6.1,1800,1900,1900,September
55,Chattisgarh,Durg,Durg,Potato,Vegetables,5.8,1700,2000,1700,September
56,Chattisgarh,Durg,Durg,Potato,Vegetables,4.9,1800,1900,1800,September
57,Chattisgarh,Durg,Durg,Potato,Vegetables,5.1,1800,2000,1800,September
58,Chattisgarh,Durg,Durg,Potato,Vegetables,4.9,1800,1900,1800,September
59,Chattisgarh,Durg,Durg,Potato,Vegetables,3.3,1700,1800,1700,August
60,Chattisgarh,Durg,Durg,Potato,Vegetables,8.0,1600,1800,1800,August
61,Chattisgarh,Durg,Durg,Potato,Vegetables,7.6,1700,1900,1700,August
62,Chattisgarh,Durg,Durg,Potato,Vegetables,6.7,1800,1900,1800,August
